BA.1.1.1,"['BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1', 'BA.1.1.1']"
BA.1.1.10,"['BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10', 'BA.1.1.10']"
BA.1.1.11,"['BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11', 'BA.1.1.11']"
BA.1.1.12,"['BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12', 'BA.1.1.12']"
BA.1.1.13,"['BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13', 'BA.1.1.13']"
BA.1.1.14,"['BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14', 'BA.1.1.14']"
BA.1.1.15,"['BA.1.1.15', 'BA.1.1.15', 'BA.1.1.15', 'BA.1.1.15', 'BA.1.1.15', 'BA.1.1.15']"
BA.1.1.16,"['BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16', 'BA.1.1.16']"
BA.1.1.17,"['BA.1.1.17', 'BA.1.1.17', 'BA.1.1.17', 'BA.1.1.17', 'BA.1.1.17', 'BA.1.1.17', 'BA.1.1.17']"
BA.1.1.18,"['BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18', 'BA.1.1.18']"
BA.1.1.2,"['BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2', 'BA.1.1.2']"
BA.1.1.3,"['BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3', 'BA.1.1.3']"
BA.1.1.4,"['BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4', 'BA.1.1.4']"
BA.1.1.5,"['BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5', 'BA.1.1.5']"
BA.1.1.6,"['BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6', 'BA.1.1.6']"
BA.1.1.7,"['BA.1.1.7', 'BA.1.1.7', 'BA.1.1.7', 'BA.1.1.7', 'BA.1.1.7', 'BA.1.1.7']"
BA.1.1.8,"['BA.1.1.8', 'BA.1.1.8', 'BA.1.1.8']"
